,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,860311.0,10.39
1,GBTC,GRAYSCALE BITCOIN TRUST BTC,389637109,8782946.0,5.82
2,TWTR,TWITTER INC,90184L102,4689969.0,5.24
3,COIN,COINBASE GLOBAL INC -CLASS A,19260Q107,1085854.0,5.16
4,TDOC,TELADOC HEALTH INC,87918A105,1989795.0,4.9
5,SHOP,SHOPIFY INC - CLASS A,82509L107,187092.0,4.74
6,U,UNITY SOFTWARE INC,91332U101,2169162.0,4.49
7,SQ,SQUARE INC - A,852234103,956185.0,4.42
8,TWLO,TWILIO INC - A,90138F102,632131.0,3.84
9,ROKU,ROKU INC,77543R102,547013.0,3.45
10,ZM,ZOOM VIDEO COMMUNICATIONS-A,98980L101,562422.0,3.44
11,SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,905278.0,3.31
12,PTON,PELOTON INTERACTIVE INC-A,70614W100,1600509.0,3.08
13,DKNG,DRAFTKINGS INC - CL A,26142R104,3202626.0,2.85
14,Z,ZILLOW GROUP INC - C,98954M200,1364025.0,2.31
15,PATH,UIPATH INC - CLASS A,90364P105,2071999.0,2.28
16,SE,SEA LTD-ADR,81141R100,389862.0,1.98
17,MELI,MERCADOLIBRE INC,58733R102,59785.0,1.93
18,RBLX,ROBLOX CORP -CLASS A,771049103,1242869.0,1.8
19,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,4530502.0,1.73
20,LC,LENDINGCLUB CORP,52603A208,3068720.0,1.54
21,ETSY,ETSY INC,29786A106,454217.0,1.5
22,TTD,TRADE DESK INC/THE -CLASS A,88339J105,1067196.0,1.5
23,OKTA,OKTA INC,679295105,346807.0,1.39
24,SKLZ,SKILLZ INC,83067L109,6578794.0,1.35
25,VUZI,VUZIX CORP,92921W300,5062376.0,1.14
26,SNAP,SNAP INC - A,83304A106,827508.0,1.08
27,ADYEY,ADYEN NV-UNSPON ADR,00783V104,1141850.0,1.07
28,DIS,WALT DISNEY CO/THE,254687106,348785.0,1.06
29,NET,CLOUDFLARE INC - CLASS A,18915M107,507586.0,1.03
30,SPLK,SPLUNK INC,848637104,406954.0,1.01
31,DOCU,DOCUSIGN INC,256163106,195570.0,0.98
32,PYPL,PAYPAL HOLDINGS INC,70450Y103,206093.0,0.97
33,PD,PAGERDUTY INC,69553P100,1388692.0,0.97
34,FTCH,FARFETCH LTD-CLASS A,30744W107,1166990.0,0.91
35,HOOD,ROBINHOOD MARKETS INC - A,770700102,944057.0,0.82
36,VCYT,VERACYTE INC,92337F107,1106161.0,0.81
37,TWOU,2U INC,90214J101,1216965.0,0.81
38,NNDM,NANO DIMENSION LTD - ADR,63008G203,7339238.0,0.8
39,KVSB,KHOSLA VENTURES ACQUISITIO-A,482505104,4230899.0,0.74
40,LPSN,LIVEPERSON INC,538146101,480172.0,0.51
41,CND,CONCORD ACQUISITION CORP -A,206071102,2804219.0,0.5
42,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,14144261.38,0.24
43,GENI,GENIUS SPORTS LTD,G3934V109,345102.0,0.11
44,NFLX,NETFLIX INC,64110L106,192.0,0.0
45,NTDOY,NINTENDO CO LTD-UNSPONS ADR,654445303,1261.0,0.0
46,SNOW,SNOWFLAKE INC-CLASS A,833445109,98.0,0.0
