,ticker,company,cusip,current shares,current weight(%)
0,TRMB,TRIMBLE INC,896239100,721323.0,9.62
1,PRNT,THE 3D PRINTING ETF,00214Q500,1095858.0,6.64
2,KTOS,KRATOS DEFENSE & SECURITY,50077B207,1417778.0,6.1
3,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,910271.0,5.56
4,LHX,L3HARRIS TECHNOLOGIES INC,502431109,150416.0,5.55
5,2618,JD LOGISTICS INC,BNMBPD9,5315408.0,4.4
6,LMT,LOCKHEED MARTIN CORP,539830109,69691.0,4.34
7,HO,THALES SA,4162791,241827.0,4.11
8,6301,KOMATSU LTD,6496584,895688.0,3.7
9,AMZN,AMAZON.COM INC,023135106,5962.0,3.57
10,GOOG,ALPHABET INC-CL C,02079K107,7077.0,3.06
11,DSY FP,DASSAULT SYSTEMES SE,BM8H5Y5,359535.0,3.04
12,NFLX,NETFLIX INC,64110L106,30372.0,2.72
13,BA,BOEING CO/THE,097023105,74056.0,2.72
14,SPR,SPIRIT AEROSYSTEMS HOLD-CL A,848574109,346164.0,2.42
15,3690,MEITUAN-CLASS B,BGJW376,386272.0,2.38
16,PATH,UIPATH INC - CLASS A,90364P105,233134.0,2.29
17,JD,JD.COM INC-ADR,47215P106,177252.0,2.24
18,U,UNITY SOFTWARE INC,91332U101,122036.0,1.95
19,RTP,REINVENT TECHNOLOGY-CLASS A,G7483N129,1190925.0,1.95
20,NVDA,NVIDIA CORP,67066G104,15313.0,1.91
21,TER,TERADYNE INC,880770102,87180.0,1.77
22,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,49646.0,1.76
23,DE,DEERE & CO,244199105,27096.0,1.55
24,AIR,AIRBUS SE,4012250,69618.0,1.5
25,AVAV,AEROVIRONMENT INC,008073108,91519.0,1.42
26,ESLT,ELBIT SYSTEMS LTD,M3760D101,63838.0,1.34
27,HON,HONEYWELL INTERNATIONAL INC,438516106,31092.0,1.19
28,SPFR,JAWS SPITFIRE ACQUISITION-A,G50740102,693861.0,1.13
29,SNPS,SYNOPSYS INC,871607107,24534.0,1.12
30,GRMN U,GARMIN LTD,B3Z5T14,44236.0,1.09
31,ANSS,ANSYS INC,03662Q105,17882.0,1.04
32,BLDE,BLADE AIR MOBILITY INC,092667104,801104.0,1.0
33,HEI,HEICO CORP,422806109,44790.0,0.99
34,TCEHY,TENCENT HOLDINGS LTD-UNS ADR,88032Q109,75287.0,0.9
35,TDY,TELEDYNE TECHNOLOGIES INC,879360105,12260.0,0.88
36,ACIC,ATLAS CREST INVESTMENT COR-A,049284102,396460.0,0.65
37,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,2286376.65,0.38
38,RAVN,RAVEN INDUSTRIES INC,754212108,2162.0,0.02
